"county","race","students","total","total_prop","estimated_total","estimated_total_se","estimated_prop","doubledup","doubledup_se","doubledup_prop"
"Alameda","AAPI",292,509283,0.307398080825518,2567.23627358893,122.711951527557,0.108937231094003,5464,399.378983396547,0.212004811236565
"Alameda","AIAN",19,5210,0.00314470343816885,100.381846635368,20.4905200512542,0.004259569147203,93,41.0487045784477,0.00360842742404842
"Alameda","Black",853,171168,0.103315277947118,5298.2681209603,318.466365952043,0.224824907870345,4430,398.232634655495,0.171885306328328
"Alameda","Latino",2256,371019,0.223943325321683,12729.287539406,208.542405274757,0.540150259097002,11419,619.290786938603,0.443060567260311
"Alameda","Other",42,5407,0.00326361065070614,325.748815165877,101.845512327162,0.0138227144581102,476,203.533529369851,0.0184689403639468
"Alameda","Two or More",209,74220,0.0447984432209006,843.847730937572,65.2647136774991,0.0358075476803642,789,141.579188844096,0.0306134326620882
"Alameda","White",201,520447,0.314136558595905,1701.42690273288,74.364167078036,0.0721977706529726,3102,290.958285228837,0.120358514724712
"Amador","Latino",30,5340,0.138957558094148,169.272440683591,2.773170282909,0.167224595940443,NA,NA,NA
"Amador","Two or More",18,1418,0.0368992167373598,72.6758811333794,5.62088443155494,0.071796654009746,NA,NA,NA
"Amador","White",91,30035,0.78157120924302,770.297751983544,33.6673592243844,0.760978750049811,NA,NA,NA
"Butte","AAPI",95,10533,0.0466439639176856,835.230979421057,39.92340888739,0.0200042767115287,451,127.078308186563,0.150937081659973
"Butte","AIAN",123,1699,0.00752379138860228,649.840375586855,132.649156121277,0.0155640619323937,NA,NA,NA
"Butte","Black",94,3342,0.0147995943618062,583.865420129271,35.094769518748,0.0139839226684992,20,19.9999999987679,0.00669344042838019
"Butte","Latino",891,36916,0.163477506122214,5027.39148830264,82.3631574023973,0.120409004152241,492,104.63207991392,0.164658634538153
"Butte","Two or More",384,10469,0.0463605485858018,1550.41879751209,119.912201206505,0.0371334486008717,266,102.839519195875,0.0890227576974565
"Butte","White",3911,162537,0.719773090599911,33105.8737143697,1446.95650468756,0.792905285934466,1759,242.40321960203,0.588688085676037
"Calaveras","Latino",67,5489,0.120600254866634,378.041784193352,6.1934136318301,0.246407561760288,NA,NA,NA
"Calaveras","Two or More",18,1931,0.042426506129982,72.6758811333794,5.62088443155494,0.0473701252549835,NA,NA,NA
"Calaveras","White",128,36837,0.809355363184954,1083.49573905378,47.3562855024309,0.706222312984728,NA,NA,NA
"Colusa","Latino",186,12738,0.593735433951711,1049.48913223826,17.1936557540358,0.784786413411972,NA,NA,NA
"Colusa","White",34,7576,0.353127621888692,287.803555686159,12.5790133365832,0.215213586588028,NA,NA,NA
"Contra Costa","AAPI",166,193534,0.169432112556697,1459.45623772522,69.7609039505972,0.0793155727330003,1805,305.632539752833,0.10370583165757
"Contra Costa","AIAN",19,2278,0.00199430773096281,100.381846635368,20.4905200512542,0.00545534936373984,NA,NA,NA
"Contra Costa","Black",810,95892,0.0839500249945065,5031.18074792244,302.412375640276,0.27342442495343,1954,331.999922884998,0.112266590060327
"Contra Costa","Latino",1455,292298,0.255896471090855,8209.71337315414,134.498758721087,0.446164880682152,10243,697.784514295489,0.588509049123815
"Contra Costa","Other",26,3657,0.00320157303429807,201.654028436019,63.0472219168147,0.0109590848604334,81,43.6004291522053,0.00465383510485493
"Contra Costa","Two or More",154,54000,0.0472750735171166,621.782538585579,48.0897890255256,0.0337913785206483,724,164.686748197152,0.0415972421717897
"Contra Costa","White",328,500592,0.438250437075564,2776.4578313253,121.350481599979,0.150889308886597,2598,331.2617195628,0.149267451881643
"Del Norte","AIAN",41,1943,0.0706673940716494,216.613458528952,44.216385373759,0.177204969398868,NA,NA,NA
"Del Norte","Latino",31,5429,0.197454082560466,174.914855373044,2.8656092923393,0.143092593619454,NA,NA,NA
"Del Norte","Two or More",15,1114,0.0405164575377341,60.5632342778161,4.68407035962912,0.0495449643331488,NA,NA,NA
"Del Norte","White",91,17028,0.619312602291326,770.297751983544,33.6673592243844,0.630157472648529,NA,NA,NA
"El Dorado","AAPI",NA,8959,0.0475119721260268,0,0,0,NA,NA,NA
"El Dorado","AIAN",17,1031,0.00546766863064334,89.8153364632238,18.3336232037537,0.0171901745901362,NA,NA,NA
"El Dorado","Black",17,1426,0.0075624592311323,105.592682363804,6.34692640232677,0.0202098741345565,NA,NA,NA
"El Dorado","Latino",247,24199,0.1283337664335,1393.6764282949,22.8324353292841,0.266742207600107,211,73.8307414683444,0.213131313131313
"El Dorado","Two or More",43,5906,0.0313210969278172,173.61460492974,13.4276683642701,0.0332289059715518,35,35.0000000014214,0.0353535353535354
"El Dorado","White",409,146747,0.778238572784693,3462.10747869527,151.318131019486,0.662628837703648,744,224.454275204631,0.751515151515151
"Fresno","AAPI",84,100687,0.102270037916916,738.520023909145,35.3006983846395,0.0288791106831411,3265,325.906676116477,0.139990567251211
"Fresno","AIAN",50,4651,0.00472412472664372,264.1627543036,53.922421187511,0.0103298288102146,54,37.6563297657352,0.00231531106632937
"Fresno","Black",517,44209,0.0449040701010948,3211.25981071099,193.021232353114,0.125573206552967,1339,284.527771822027,0.0574111392187969
"Fresno","Latino",3090,522364,0.530576798260271,17435.0613904098,285.636539139627,0.681781199371987,15778,766.282329705908,0.676499592676757
"Fresno","Other",NA,1732,0.00175923113879745,0,0,0,23,23.0000000000516,0.000986151009732882
"Fresno","Two or More",85,21228,0.0215617543963003,343.191660907625,26.5430653712317,0.0134201777067884,280,98.6507071074092,0.0120053166402264
"Fresno","White",423,289650,0.294203983459977,3580.61482515428,156.497724746314,0.140016476874901,2584,287.054614754642,0.110791922136946
"Glenn","Latino",153,11680,0.417500714898484,863.289447486312,14.1431684428359,0.560404971528233,NA,NA,NA
"Glenn","White",80,14398,0.514655418930512,677.18483690861,29.5976784390193,0.439595028471767,NA,NA,NA
"Humboldt","AAPI",26,4505,0.0331396204207739,228.589531209973,10.9264066428646,0.0271554656404456,97,48.6928753173598,0.0501551189245088
"Humboldt","AIAN",168,6264,0.0460791525673091,887.586854460094,181.179335190037,0.105441549320395,118,54.0184589860979,0.0610134436401241
"Humboldt","Black",24,1336,0.00982786523466235,149.072022160665,8.9603666856378,0.0177091232232207,12,12.0000000010588,0.0062047569803516
"Humboldt","Latino",278,15722,0.115653964984552,1568.59128366794,25.6980446216234,0.186341983738618,232,112.507676297196,0.119958634953464
"Humboldt","Two or More",123,6858,0.0504487273797264,496.618521078092,38.4093769489588,0.058996171496399,127,57.4194470644751,0.0656670113753878
"Humboldt","White",601,101078,0.743548624393115,5087.35108727594,222.352559273132,0.604355706580922,1348,283.250841429005,0.697001034126163
"Imperial","AAPI",11,2607,0.0144271476084803,96.7109555119118,4.62271050275042,0.0107704701488196,29,29.0000000005474,0.00428044280442804
"Imperial","AIAN",39,1104,0.00610954006895369,206.046948356808,42.0594885262586,0.0229469608151998,143,49.4670601612218,0.0211070110701107
"Imperial","Black",22,3882,0.0214830023076795,136.649353647276,8.21366946183465,0.0152183149936121,17,17.0000000003352,0.00250922509225092
"Imperial","Latino",1428,152172,0.842120408852192,8057.36817653891,132.002905466468,0.897330017722476,6459,680.530805728911,0.953357933579336
"Imperial","Two or More",NA,1594,0.00882120187492045,0,0,0,NA,NA,NA
"Imperial","White",57,19228,0.10640782286761,482.494196297385,21.0883458878012,0.0537342363198926,127,77.6594772943615,0.0187453874538745
"Inyo","AIAN",NA,1828,0.101685487011181,0,0,0,NA,NA,NA
"Inyo","Latino",81,4020,0.223619068810146,457.035589845695,7.4875597638543,1,NA,NA,NA
"Inyo","White",NA,11173,0.621516382043723,0,0,0,NA,NA,NA
"Kern","AAPI",103,41845,0.0471418062031835,905.566219793356,43.2853801621175,0.0281444881937641,735,175.20478912077,0.0344779059949339
"Kern","AIAN",41,4303,0.0048476805375146,216.613458528952,44.216385373759,0.00673222431769779,34,23.45207165279,0.00159489633173844
"Kern","Black",678,45761,0.0515534996693483,4211.28462603878,253.130358869268,0.130884354835117,1492,289.189928599151,0.0699878037339338
"Kern","Latino",3283,473374,0.533294428716114,18524.0474254743,303.477267959675,0.575716963234291,14575,875.833265077055,0.683694530443756
"Kern","Two or More",123,18260,0.0205713796456,496.618521078092,38.4093769489588,0.0154346239930156,409,124.470542819101,0.0191856646965006
"Kern","White",924,303225,0.341607699509148,7821.48486629445,341.853185970673,0.243087345426115,4073,431.379097480234,0.191059198799137
"Kings","AAPI",NA,5806,0.0385291755977464,0,0,0,14,13.9999999992476,0.00528301886792453
"Kings","AIAN",NA,1282,0.00850747556257507,0,0,0,9,6.70820244846059,0.00339622641509434
"Kings","Black",63,8779,0.058258290143406,391.314058171745,23.5209625497992,0.0815524570137359,80,54.7904929733851,0.030188679245283
"Kings","Latino",616,82116,0.544929690558826,3475.72744870306,56.9424298090648,0.724364758772382,2385,316.701608423396,0.9
"Kings","Two or More",21,3932,0.0260931309766343,84.7885279889426,6.55769850348077,0.0176704941713118,50,45.2769229379291,0.0188679245283019
"Kings","White",100,48537,0.322096210125356,846.481046135763,36.9970980487741,0.17641229004257,112,44.9443453398631,0.0422641509433962
"Lake","AIAN",41,1926,0.0300023366305787,216.613458528952,44.216385373759,0.0459138041270643,NA,NA,NA
"Lake","Black",14,1331,0.0207337020017135,86.9586795937212,5.22688056662205,0.0184319285104837,NA,NA,NA
"Lake","Latino",288,13224,0.205997351818677,1625.01543056247,26.6224347159264,0.34444138738651,NA,NA,NA
"Lake","Two or More",43,1619,0.0252200327128281,173.61460492974,13.4276683642701,0.0367996846478323,NA,NA,NA
"Lake","White",309,45258,0.705008178207025,2615.62643255951,114.321032970712,0.55441319532811,NA,NA,NA
"Lassen","Black",NA,2612,0.0847556622752937,0,0,0,NA,NA,NA
"Lassen","Latino",20,5844,0.189629437341813,112.84829378906,1.848780188606,0.179351530776267,NA,NA,NA
"Lassen","White",61,20164,0.654292945681095,516.353438142815,22.5682298097522,0.820648469223733,NA,NA,NA
"Los Angeles","AAPI",3636,1479366,0.146739644718035,31967.3667492101,1528.01594436368,0.0812214229957445,33332,1049.18539543404,0.101448746043341
"Los Angeles","AIAN",144,20831,0.00206624563436052,760.788732394367,155.296573020032,0.00193298196654643,429,146.659162994867,0.00130569758948137
"Los Angeles","Black",7755,790252,0.0783858069725251,48168.8971606648,2895.31848529671,0.122385631641729,22794,938.414121893157,0.0693754565376187
"Los Angeles","Latino",48205,4888434,0.484888167219987,271992.600105083,4456.02244958761,0.691068056939446,245409,2762.98544554159,0.746922936449963
"Los Angeles","Other",459,32413,0.00321507463619258,3559.96919431279,1113.02595614684,0.00904502914023232,1132,219.1011585481,0.00344533722912101
"Los Angeles","Two or More",1117,228504,0.022665517374774,4509.94217922138,348.807106113715,0.0114586829843888,2694,285.769190569,0.00819941563184807
"Los Angeles","White",3854,2641770,0.262039543444126,32623.3795180723,1425.86815879975,0.0828881943319128,22770,877.981553516582,0.0693024105186267
"Madera","AAPI",NA,3161,0.0203367367290086,0,0,0,29,29.0000000005474,0.00915693084938428
"Madera","AIAN",23,1546,0.0099464077769843,121.514866979656,24.8043137462551,0.0174616046238771,28,8.36657666010477,0.00884117461319861
"Madera","Black",25,4770,0.0306884638397252,155.283356417359,9.33371529753937,0.0223141138349966,NA,NA,NA
"Madera","Latino",930,89798,0.577728024293426,5247.44566119131,85.968278770179,0.754054410777098,2388,337.681667326155,0.754025892011367
"Madera","Two or More",22,2855,0.0183680428223093,88.826076940797,6.86996986078938,0.0127642474898974,120,82.3164368876413,0.0378907483422798
"Madera","White",159,53053,0.341323914484054,1345.90486335586,58.8253858975508,0.19340562327413,602,145.622152343017,0.19008525418377
"Marin","AAPI",13,15359,0.0590860303989721,114.294765604987,5.46320332143231,0.0162066557350591,178,69.5412478146903,0.0651537335285505
"Marin","AIAN",NA,NA,NA,NA,NA,NA,18,17.9999999990908,0.00658857979502196
"Marin","Black",16,5527,0.021262353669843,99.3813481071099,5.9735777904252,0.0140919777623458,145,72.256427105499,0.0530746705710103
"Marin","Latino",1146,41527,0.159754253817183,6466.20723411316,105.935104807124,0.916888835635778,1830,292.674212721518,0.669838945827233
"Marin","Other",NA,2345,0.00902120849570867,0,0,0,NA,NA,NA
"Marin","Two or More",NA,9787,0.0376505618539449,0,0,0,60,38.2883640201578,0.0219619326500732
"Marin","White",44,184960,0.711540606979222,372.451660299736,16.2787231414606,0.0528125308668171,501,137.494987556362,0.183382137628111
"Mariposa","Latino",22,1963,0.112686567164179,124.133123167966,2.0336582074666,0.2135686498707,NA,NA,NA
"Mariposa","White",54,13935,0.799942594718714,457.099764913312,19.978432946338,0.7864313501293,NA,NA,NA
"Mendocino","AAPI",NA,1938,0.0222186554159406,0,0,0,NA,NA,NA
"Mendocino","AIAN",166,2938,0.0336833898926901,877.02034428795,179.022438342537,0.143164784863985,NA,NA,NA
"Mendocino","Latino",454,21898,0.251054755571861,2561.65626901167,41.9673102813562,0.418164722217804,NA,NA,NA
"Mendocino","Two or More",45,2916,0.0334311657342016,181.689702833448,14.0522110788874,0.0296590237473575,NA,NA,NA
"Mendocino","White",296,56857,0.651850408144547,2505.58389656186,109.511410224371,0.409011469170854,NA,NA,NA
"Merced","AAPI",65,20257,0.0746438599464961,571.473828024934,27.3160166071616,0.0628886217207184,398,143.289649764163,0.0841437632135307
"Merced","Black",86,7812,0.0287859917017341,534.174746075716,32.1079806235354,0.0587839930567228,70,27.2763212493201,0.0147991543340381
"Merced","Latino",1119,161814,0.596259147622171,6313.86203749793,103.439251552506,0.694817613337295,3691,376.174881912044,0.780338266384778
"Merced","Two or More",NA,5305,0.019548090882962,0,0,0,212,92.6281808208189,0.0448202959830867
"Merced","White",197,75037,0.27649954676434,1667.56766088745,72.884283156085,0.183509771885264,359,121.395785988275,0.0758985200845666
"Modoc","Latino",NA,1291,0.144942180307623,0,0,NA,NA,NA,NA
"Modoc","White",NA,6920,0.77691703154822,0,0,NA,NA,NA,NA
"Mono","Latino",41,3865,0.270090845562544,231.339002267574,3.7899993866423,1,NA,NA,NA
"Mono","White",NA,9308,0.650454227812718,0,0,0,NA,NA,NA
"Monterey","AAPI",160,25330,0.0584435061489121,1406.70480744599,67.2394254945515,0.0271988138531678,NA,NA,NA
"Monterey","Black",73,10737,0.0247733093375787,453.427400738689,27.254448668815,0.00876707565321292,NA,NA,NA
"Monterey","Latino",8229,254294,0.586728501880437,46431.4304795089,760.680608601939,0.897757530836441,NA,NA,NA
"Monterey","Two or More",111,11931,0.0275282065480723,448.16793365584,34.6621206612555,0.00866538319762729,NA,NA,NA
"Monterey","White",352,129738,0.299342424032671,2979.61328239789,130.229785131685,0.0576111964595514,NA,NA,NA
"Napa","AAPI",NA,11480,0.0822214105125946,0,0,0,82,35.7770455514525,0.0509316770186335
"Napa","Black",NA,2780,0.01991075968859,0,0,0,18,17.9999999990908,0.0111801242236025
"Napa","Latino",279,47544,0.340516963537526,1574.23369835739,25.7904836310537,0.702589861521158,1271,227.04214336136,0.78944099378882
"Napa","Other",NA,NA,NA,NA,NA,NA,22,15.6204951013358,0.0136645962732919
"Napa","Two or More",12,3676,0.0263280405090852,48.4505874222529,3.7472562877033,0.0216237853014701,NA,NA,NA
"Napa","White",73,73210,0.524340545612113,617.931163679107,27.0078815756051,0.275786353177372,217,67.8157540349813,0.134782608695652
"Nevada","AAPI",NA,1167,0.0117588972633106,0,0,0,NA,NA,NA
"Nevada","Latino",139,9373,0.0944439966144049,784.29564183397,12.8490223108117,0.242689298582128,NA,NA,NA
"Nevada","Two or More",38,3202,0.0322639151989037,153.426860170468,11.8663115777271,0.047475792408281,NA,NA,NA
"Nevada","White",271,84513,0.851567852968441,2293.96363502792,100.262135712178,0.709834909009591,NA,NA,NA
"Orange","AAPI",1670,651876,0.205766081531696,14682.4814277175,701.811503599381,0.0843015895143702,13447,637.488191733464,0.170972663699936
"Orange","AIAN",73,6116,0.00193052874265635,385.677621283255,78.7267349337661,0.0022144238134653,156,68.8330528094771,0.00198347107438017
"Orange","Black",528,51269,0.0161831716983729,3279.58448753463,197.128067084032,0.0188302084090441,1547,290.464666949051,0.0196694214876033
"Orange","Latino",24049,1078726,0.34050221524701,135694.430866656,2223.06573778928,0.779109189861593,54778,1552.74640313975,0.696478067387158
"Orange","Other",119,6032,0.00190401395940208,922.954976303317,288.56228492696,0.00529927941238084,120,53.8515890063008,0.00152574698029243
"Orange","Two or More",420,88170,0.0278310528515387,1695.77055977885,131.153970069615,0.0097365117977373,693,130.425241957578,0.00881118881118881
"Orange","White",2068,1285855,0.405882935969324,17505.2280340876,765.099987648648,0.100508797191409,7909,512.037636587598,0.100559440559441
