county,pit,source,disclaimer
California,161548,https://files.hudexchange.info/reports/published/CoC_PopSub_State_CA_2021.pdf,"Counts reflect estimates from the 2020 Point in Time, the most-up-date data available that includes both sheltered and unsheltered estimates. "
Imperial,1527,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-613-2020_CA_2020.pdf,"Counts reflect estimates from the 2020 Point in Time, the most-up-date data available that includes both sheltered and unsheltered estimates. "
Santa Clara,10028,https://news.sccgov.org/news-release/county-santa-clara-and-city-san-jose-release-preliminary-results-2022-point-time,"Counts reflect estimates from the 2022 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Alameda,9747,https://public.tableau.com/app/profile/asr1451/viz/TableauAlamedaCounty-HDXandSurveyData/ExecSum?publish=yes,"Counts reflect estimates from the 2022 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Sacramento,9278,https://sacramentostepsforward.org/continuum-of-care-point-in-time-pit-count/2022-pit-count/#PITvolunteer,"Counts reflect estimates from the 2022 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
San Diego,8427,https://www.rtfhsd.org/updates/2022-point-in-time-count-data-released/,"Counts reflect estimates from the 2022 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Orange,5718,https://www.ochealthinfo.com/sites/hca/files/2022-05/2022%20PIT%20Data%20Infographic%20-%205.10.2022%20Final.pdf,"Counts reflect estimates from the 2022 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
San Francisco,7754,https://hsh.sfgov.org/get-involved/2022-pit-count/,"Counts reflect estimates from the 2022 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
San Bernardino,3333,https://wp.sbcounty.gov/dbh/sbchp/wp-content/uploads/sites/2/2022/05/SBC-2022-Homeless-Count-Report.pdf,"Counts reflect estimates from the 2022 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Riverside,3316,https://rivcopitc2022-countyofriverside.hub.arcgis.com/,"Counts reflect estimates from the 2022 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Contra Costa,3093,https://cchealth.org/press-releases/2022/0516-Rise-in-Homelessness-During-Pandemic.php,"Counts reflect estimates from the 2022 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Sonoma,2893,https://sonomacounty.ca.gov/sonoma-bay-area-counties-release-preliminary-homelessness-count-statistics,"Counts reflect estimates from the 2022 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
San Joaquin,2319,http://www.sanjoaquincoc.org/point-in-time-sjc/,"Counts reflect estimates from the 2022 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Ventura,2238,https://s33020.pcdn.co/wp-content/uploads/2021/03/VC-2022-Homeless-Count-Report-FINAL.pdf,"Counts reflect estimates from the 2022 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Monterey,2047,https://chsp.org/wp-content/uploads/2022/07/2022montereyfinalV2.pdf,"Counts reflect estimates from the 2022 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Santa Barbara,1962,https://content.civicplus.com/api/assets/4344ab0c-a9f5-47dd-8d52-fd7ad028dca9,"Counts reflect estimates from the 2022 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Stanislaus,1857,https://www.stancounty.com/newsfeed/pdf/20220613-resch-pit.pdf,"Counts reflect estimates from the 2022 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
San Mateo,1808,https://www.smcgov.org/hsa/2022-one-day-homeless-count,"Counts reflect estimates from the 2022 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Kern,1603,https://bkrhc.org/wp-content/uploads/2021/07/2022-PIT-Report_2022_0426_Final.docx.pdf,"Counts reflect estimates from the 2022 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
