county,pit,source,disclaimer
California,181399,https://files.hudexchange.info/reports/published/CoC_PopSub_State_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Imperial,1303,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-613-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Santa Clara,9903,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-500-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Alameda,9759,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-502-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Sacramento,9281,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-503-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
San Diego,10264,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-601-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Orange,6050,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-602-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
San Francisco,7582,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-501-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
San Bernardino,4195,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-609-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Riverside,3725,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-608-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Contra Costa,2372,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-505-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Sonoma,2266,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-504-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
San Joaquin,2454,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-511-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Ventura,2441,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-611-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Monterey,2047,https://chservices.org/wp-content/uploads/2022/11/2022-Monterey-Homeless-Census-snapshot.pdf,"Counts reflect estimates from the 2022 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Santa Barbara,1887,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-603-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Stanislaus,2091,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-510-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
San Mateo,1859,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-512-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Kern,1948,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-604-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Humboldt,1656,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-522-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Butte,1237,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-519-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Marin,1118,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-507-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Tulare,1053,https://static1.squarespace.com/static/579939fd197aea7457647213/t/64a857428433be7864d92c61/1688754006079/FINAL_2023+PIT+Report.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Merced,784,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-520-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Mendocino,633,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-509-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Shasta,1013,https://www.shastacounty.gov/sites/default/files/fileattachments/housing_amp_community_action_programs/page/3427/2023_norcal-coc_pit_report_final.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Sierra,12,https://www.shastacounty.gov/sites/default/files/fileattachments/housing_amp_community_action_programs/page/3427/2023_norcal-coc_pit_report_final.pdf#%5B%7B%22num%22%3A491%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C9%2C703%2C0%5D,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Placer,709,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-515-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Napa,506,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-517-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Del Norte,694,https://www.shastacounty.gov/sites/default/files/fileattachments/housing_amp_community_action_programs/page/3427/2023_norcal-coc_pit_report_final.pdf#%5B%7B%22num%22%3A491%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C9%2C703%2C0%5D,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Siskiyou,507,https://www.shastacounty.gov/sites/default/files/fileattachments/housing_amp_community_action_programs/page/3427/2023_norcal-coc_pit_report_final.pdf#%5B%7B%22num%22%3A491%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C9%2C703%2C0%5D,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Kings,417,https://static1.squarespace.com/static/579939fd197aea7457647213/t/64a857428433be7864d92c61/1688754006079/FINAL_2023+PIT+Report.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Tuolumne,266,https://www.tuolumnecounty.ca.gov/DocumentCenter/View/21725/Central-Sierra-Continuum-of-Care-Tuolumne-County-Point-in-Time-Homeless-Count,"Counts reflect estimates from the 2022 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Lake,460,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-529-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Amador,184,https://www.centralsierracoc.org/_files/ugd/a55699_81d8ca035010434ea3f7bc7a73923acb.pdf,"Counts reflect estimates from the 2022 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Plumas,134,https://www.shastacounty.gov/sites/default/files/fileattachments/housing_amp_community_action_programs/page/3427/2023_norcal-coc_pit_report_final.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Calaveras,122,https://www.centralsierracoc.org/_files/ugd/a55699_844cc4b12ad84f1987c857499ca81c54.pdf,"Counts reflect estimates from the 2022 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Lassen,134,https://www.shastacounty.gov/sites/default/files/fileattachments/housing_amp_community_action_programs/page/3427/2023_norcal-coc_pit_report_final.pdf#%5B%7B%22num%22%3A491%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C9%2C703%2C0%5D,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Inyo,96,https://www.easternsierracoc.org/,"Counts reflect estimates from the 2022 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Mariposa,46,https://www.centralsierracoc.org/_files/ugd/a55699_fce5647463564194b738119eee689a3a.pdf,"Counts reflect estimates from the 2022 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Mono,41,https://www.easternsierracoc.org/,"Counts reflect estimates from the 2022 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Modoc,27,https://www.shastacounty.gov/sites/default/files/fileattachments/housing_amp_community_action_programs/page/3427/2023_norcal-coc_pit_report_final.pdf,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
San Benito,357,https://chsp.org/wp-content/uploads/2022/07/2022-San-Benito-County-Executive-Summary.pdf ,"Counts reflect estimates from the 2022 Point in Time, the most-up-date data available that includes both sheltered and unsheltered estimates. "
Fresno,3812,https://fresnomaderahomeless.org/point-in-time,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Madera,681,https://fresnomaderahomeless.org/point-in-time,"Counts reflect estimates from the 2023 Point in Time, the most up-to-date data available that includes both sheltered and unsheltered estimates. "
Nevada,492,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-531-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most-up-date data available that includes both sheltered and unsheltered estimates. "
Santa Cruz,1804,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-508-2023_CA_2023.pdf ,"Counts reflect estimates from the 2023 Point in Time, the most-up-date data available that includes both sheltered and unsheltered estimates. "
Yuba,545,https://www.syhomelessconsortium.org/_files/ugd/c7b18b_d0dc03fb737d41eeae888f9a1a185e0f.pdf,"Counts reflect estimates from the 2023 Point in Time, the most-up-date data available that includes both sheltered and unsheltered estimates. "
Yolo,737,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-521-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most-up-date data available that includes both sheltered and unsheltered estimates. "
San Luis Obispo,1532,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-614-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most-up-date data available that includes both sheltered and unsheltered estimates. "
El Dorado,491,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-525-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most-up-date data available that includes both sheltered and unsheltered estimates. "
Solano,1200,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-518-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most-up-date data available that includes both sheltered and unsheltered estimates. "
Tehama,304,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-527-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most-up-date data available that includes both sheltered and unsheltered estimates. "
Los Angeles,71320,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2023_CA_2023.pdf,"Counts reflect estimates from the 2023 Point in Time, the most-up-date data available that includes both sheltered and unsheltered estimates. "
Sutter,418,https://www.syhomelessconsortium.org/_files/ugd/c7b18b_d0dc03fb737d41eeae888f9a1a185e0f.pdf,"Counts reflect estimates from the 2023 Point in Time, the most-up-date data available that includes both sheltered and unsheltered estimates. "
Glenn,360,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-523-2023_CA_2023.pdf,"Counts reflect estimates for Glenn, Colusa, and Trinity Counties from the 2023 Point in Time, for the most-up-date data available that includes both sheltered and unsheltered estimates. "
Colusa,360,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-523-2023_CA_2023.pdf,"Counts reflect estimates for Glenn, Colusa, and Trinity Counties from the 2023 Point in Time, for the most-up-date data available that includes both sheltered and unsheltered estimates. "
Trinity,360,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-523-2023_CA_2023.pdf,"Counts reflect estimates for Glenn, Colusa, and Trinity Counties from the 2023 Point in Time, for the most-up-date data available that includes both sheltered and unsheltered estimates. "
